item_id,prod_descr,prod_descr2,group_description,sale_price,final_price,cost,storage_cost,p*q,categoria
199,BRIT CARE ADULT MEDIUM BREED L&R 12 KG,Adultos,Alimento,52933.0,62990.0,46816,116,8959400,AAA
162,PRO PLAN ADULT SMALL BREED 3KG AR,Adultos,Alimento,24832.0,29550.0,20679,55,8777760,AAA
1298,"ROYAL CAN SHN MINI ADULTO 7,5 KILO",Cachorros,Alimento,48235.0,57400.0,41135,106,8716020,AAA
121,REVOLUTION PERRO/GATO  0 - 2.5 KG,Ant. Ext.,Medicamentos,10916.0,12990.0,9919,24,8679510,AAA
1094,"BRAVECTO 112,5MG PERRO 2 a 4,5 KG",Ant. Ext.,Medicamentos,24882.0,29610.0,22439,55,8649240,AAA
1268,BRIT CARE PUPPY L&R  12 KG,Cachorros,Alimento,54613.0,64990.0,48214,120,8619600,AAA
866,BRIT CARE WEIGTH LOSS RABBIT 3 KG,Weight Control,Alimento,20160.0,23990.0,18113,45,8362490,AAA
894,ULTRAFIL PLUSX 20ML GOTAS,Otico,Medicamentos,13436.97478991597,15990.0,12480,30,8026980,AAA
1656,PRO PLAN PUPPY SMALL BREED 3KG AR,Cachorros,Alimento,25908.0,30830.0,22027,57,7963540,AAA
1558,DRONTAL CAT POTE CLINICO X UN,Ant. Ext.,Medicamentos,2764.0,3290.0,2628,7,7956480,AAA
574,POSATEC,Otico,Medicamentos,21790.0,25930.0,17147,48,7695879,AAA
1900,RIMADYL 100 MG x 14 tabletas ,Analgesico,Medicamentos,19403.0,23090.0,16225,43,7410710,AAA
880,SERESTO COLLAR P/G MAS DE 8 KILOS,Ant. Ext.,Medicamentos,44529.0,52990.0,40766,98,7358620,AAA
2183,NEXGARD 136MG X 1 TAB. MASTICABLE 25-50K,Ant. Ext.,Medicamentos,17160.0,20420.0,15275,38,7118780,AAA
567,BRIT CARE GF JUNIOR LARGE BREED SALMON  12 KG,Cachorros,Alimento,54613.0,64990.0,47279,120,6834220,AAA
1405,ROYAL MINI JUNIOR  2.5 KG,Cachorros,Alimento,22143.0,26350.0,19404,49,6579060,AAA
1531,"SIMPARICA 40 MG  X 1 TAB. 10,1 - 20 K",Ant. Ext.,Medicamentos,8605.0,10240.0,7021,19,6199180,AAA
224,BRIT CARE ADULT LARGE BREED L&R 12 kg,Adultos,Alimento,52933.0,62990.0,47107,116,6196280,AAA
209,PRO PLAN PUPPY MEDIUM BREED 3KG AR,Cachorros,Alimento,24832.0,29550.0,22500,55,6194250,AAA
1339,TRANSIMED x 15 ml,Otico,Medicamentos,10731.09243697479,12770.0,9473,24,6177930,AAA
1024,REVOLUTION PLUS 0.5 ML (2.5 A 5 KG) X 1P,Ant. Ext.,Medicamentos,11168.0,13290.0,10149,25,6019860,AAA
2142,"BROADLINE PIPETA GATO 2,5 A 7,5 KG",Ant. Ext.,Medicamentos,13437.0,15990.0,10598,30,5909058,AAA
1737,TEST LEUCEMIA Y SIDA FELINO RAPIDTEST,Procedimientos,Medicamentos,19076.0,22700.0,16431,42,5861970,AAA
1563,SERESTO COLLAR P/P HASTA 8 KILOS,Ant. Ext.,Medicamentos,40328.0,47990.0,32528,89,5848740,AAA
1323,CANINE - FELINE A/D LATA X 156 GMS,Latas medicadas,Alimento,7748.0,9220.0,6159,17,5683780,AAA
1233,BRIT CARE ADULT MEDIUM BREED L&R 3 kg,Adultos,Alimento,20160.0,23990.0,15809,45,5667700,AAA
2,ADVOCATE 1 X O.8,Ant. Ext.,Medicamentos,21000.0,24990.0,18818,46,5659090,AAA
1612,RIMADYL 25 MG x 14 tabletas ,Analgesico,Medicamentos,14992.0,17840.0,13742,33,5614430,AAA
640,PRO PLAN KITTEN 3KG AR,Cachorros,Alimento,30563.0,36370.0,25386,67,5573250,AAA
1190,ROYAL CAN. SHN MINI JUNIOR 7.5 KGR.,Cachorros,Alimento,51681.0,61500.0,47956,113,5475200,AAA
532,"SIMPARICA 80 MG  X 1 TAB. 20,1 - 40 KG",Ant. Ext.,Medicamentos,12815.0,15250.0,9978,28,5260350,AAA
2017,"SIMPARICA 10 MG  X 1 TAB. 2,6 - 5 K",Ant. Ext.,Medicamentos,7328.0,8720.0,5907,16,5207440,AAA
1345,CANINE I/D X  LATA X 370 GMS,Latas medicadas,Alimento,7748.0,9220.0,6289,17,5160730,AAA
1607,DRONTAL PLUS X 2 COMPRIMIDOS SABORIZADOS,Ant. Ext.,Medicamentos,8899.0,10590.0,7691,20,5147200,AAA
384,PRO PLAN ADULT MEDIUM BREED 15KG AR,Adultos,Alimento,65286.0,77690.0,57589,143,5015930,AAA
380,NAXPET 10 MG.X 10 COMP.,Analgesico,Medicamentos,6554.621848739496,7800.0,5190,15,4913200,AAA
1045,BRIT CARE DOG SHOW CHAMPION SALMON 12 KG,Adultos,Alimento,53773.0,63990.0,48216,118,4733640,AAA
856,ROYAL CANIN MAXI ADULTO 15 KG,Adultos,Alimento,71773.0,85410.0,66570,157,4719750,AAA
668,PRO PLAN ADULT MEDIUM BREED 3KG AR,Adultos,Alimento,23933.0,28480.0,20898,53,4697680,AAA
1953,"NEXGARD SPECTRA 1 TAB 7,5 A 15 KG",Ant. Ext.,Medicamentos,11756.0,13990.0,10626,26,4655700,AAA
1175,PRO PLAN PUPPY LARGE BREED 15KG AR,Cachorros,Alimento,68261.0,81230.0,58328,150,4591610,AAA
841,PRO PLAN ADULT CAT 3KG AR,Adultos,Alimento,27429.0,32640.0,22427,60,4546560,AAA
58,PRO PLAN PUPPY MEDIUM BREED 15KG AR,Cachorros,Alimento,68261.0,81230.0,63649,150,4507350,AAA
1143,FELINE  I/D  LATA X 156GR,Latas medicadas,Alimento,6487.0,7720.0,5800,15,4497080,AAA
1937,PRO PLAN ADULT LARGE BREED 15KG AR,Adultos,Alimento,65286.0,77690.0,59504,143,4431845,AAA
2104,ROYAL CAN  VET CAT  YOUNG FEMALE  S/O 3.5 KILO,Adultos,Alimento,35697.0,42480.0,31645,78,4431350,AAA
192,ADVOCATE 1 X 0.4 ML,Ant. Ext.,Medicamentos,13832.0,16460.0,12801,31,4415170,AAA
2118,BRIT CARE CAT GRAIN-FREE KITTEN HEALTHY G&D 2 KG,Cachorros,Alimento,16798.0,19990.0,15253,37,4371470,AAA
931,GASTROENTERIL X 120 ML ,Antibiotico,Medicamentos,10815.12605042017,12870.0,8886,24,4198350,AAA
1808,DOGIT ALFOMBRILLA EDUCADORA  MEDIUM 30UN,Higiene,Accesorios,11336.0,13490.0,10330,25,4192080,AAA
1372,REVOLUTION GATO 2.5-7.5 KG,Ant. Ext.,Medicamentos,12597.0,14990.0,11826,28,4138770,AAA
772,VACUNA GIARDIA,Vacunas,Medicamentos,5261.0,6260.0,4335,12,4005380,AAA
1182,DOXIMICIN JARABE X 60 ML,Antibiotico,Medicamentos,8621.8487394958,10260.0,7427,19,4003210,AAA
2223,COLLAR ISABELINO 10 CM Nº(1),Higiene,Medicamentos,3781.512605042017,4500.0,3346,9,3864300,AAA
333,"NEXGARD 11,3MG 1 TAB.MASTICABLE 2-4 K",Ant. Ext.,Medicamentos,9437.0,11230.0,7336,21,3860248,AAA
1801,BRIT CARE GF PUPPY SALMON 1 KG,Cachorros,Alimento,7134.0,8490.0,6318,16,3824250,AAA
1980,PRO PLAN URINARY CAT 3KG AR,Adultos,Alimento,30563.0,36370.0,29010,67,3700520,AAA
2115,ROYAL RECOVERY RS 145 GRS. (LATA),Latas medicadas,Alimento,4050.0,4820.0,3654,9,3692020,AAA
666,REVOLUTION PERRO 5-10 KG,Ant. Ext.,Medicamentos,15714.0,18700.0,12413,35,3687600,AAA
1418,"BRIT CARE ADULT SMALL BREED L&R 7,5 kg",Adultos,Alimento,38059.0,45290.0,32763,84,3605750,AAA
335,"ROYAL CANIN  KITTEN 36, 1,5 KILO",Cachorros,Alimento,17286.0,20570.0,14363,38,3590050,AAA
232,ADVANTAGE GATOS  4-8,Ant. Ext.,Medicamentos,11067.0,13170.0,9233,25,3558350,AAA
2042,POWER GATO DE 4-8 KG,Ant. Ext.,Medicamentos,9067.0,10790.0,7156,20,3538140,AAA
1012,PRO PLAN SENSITIVE SKIN M/L 15KG AR,Adultos,Alimento,71983.0,85660.0,65436,158,3534400,AAA
1276,ROYAL CANIN MAXI JUNIOR 15 KGR,Adultos,Alimento,74992.0,89240.0,68412,164,3518720,AAA
451,FRONTLINE 250 ML,Ant. Ext.,Medicamentos,15957.9831932773,18990.0,12367,35,3507700,AAA
708,BRAVECTO 1.300 MG PERRO 40 A 56 KG,Ant. Ext.,Medicamentos,45185.0,53770.0,37858,99,3490740,AAA
117,ROYAL CANIN FELINE URINARY CARE 1.5 KG,Medicados,Alimento,18126.0,21570.0,15612,40,3440270,AAA
1234,ROYAL CANIN KITTEN STERILISED 1.5 KG,Cachorros,Alimento,17983.0,21400.0,15122,40,3419680,AAA
1629,ROYAL CAN. VET CAT YOUNG FEMALE 1.5 KG.,Adultos,Alimento,18303.0,21780.0,17293,40,3396580,AAA
198,"PRO PLAN ADULT SMALL BREED 7,5KG AR",Adultos,Alimento,45429.0,54060.0,40599,100,3330120,AAA
1769,"NEXGARD SPECTRA 1 TAB 3,6 A 7,5 KG",Ant. Ext.,Medicamentos,10076.0,11990.0,8361,22,3322134,AAA
1973,PRO PLAN PUPPY SMALL BREED 7.5KG AR,Cachorros,Alimento,47328.0,56320.0,40454,104,3285680,AAA
525,PRO PLAN ACTIVE MIND 7+ MED LRG 15KG AR,Adultos,Alimento,71983.0,85660.0,68130,158,3275840,AAA
181,COLLAR ISABELINO 15 CM Nº(3),Higiene,Medicamentos,5420.0,6450.0,5043,12,3262629,AAA
156,EHLIFLOXACINO (ENROFLOXACINO 50 MG.),Antibiotico,Medicamentos,12336.0,14680.0,11269,27,3237910,AAA
548,MAMISTOP 250 GR. (PERRO),Suplemento,Medicamentos,9899.159663865546,11780.0,8442,22,3237620,AAA
1467,"SIMPARICA 80 MG  X 3 TAB. 20,1 - 40 KG",Ant. Ext.,Medicamentos,30756.0,36600.0,27606,68,3206370,AAA
1065,ROYAL CAN. VET CAT  YOUNG MALE 1.5 KG.,Adultos,Alimento,18303.0,21780.0,17420,40,3196480,AAA
13,POWER 1 P.  GATO,Ant. Ext.,Medicamentos,6462.0,7690.0,5300,15,3170210,AAA
1620,SUCRAVET,Digestivo,Medicamentos,16798.3193277311,19990.0,15156,37,3156840,AAA
1833,CIPROVET X 5 ML,Ocular,Medicamentos,20050.0,23860.0,17755,44,3156340,AAA
1578,PRO PLAN STERILIZED CAT 3KG AR,Adultos,Alimento,30563.0,36370.0,24810,67,3142310,AAA
3,PRO PLAN SENSITIVE SKIN M/L 3KG AR,Adultos,Alimento,25908.0,30830.0,21186,57,3126610,AAA
1679,FRONTLINE PLUS PIPETA PERRO 2-10 KG.,Ant. Ext.,Medicamentos,7681.0,9140.0,6801,17,3066590,AAA
2275,ROYAL CAN FHN INDOOR 7.5 KG,Adultos,Alimento,54866.0,65290.0,50859,120,3043050,AAA
48,ARTRIOFIN 88 MG. X 10 COMP.,Analgesico,Medicamentos,15176.4705882353,18060.0,13666,34,3018120,AAA
590,DERMISOLONA 30 ML SUSPENSIÓN,Antialergico,Medicamentos,12310.9243697479,14650.0,11521,27,2954000,AAA
635,JAULA CAGE CAVIE 80 GREY,Hogar-Transporte,Accesorios,52933.0,62990.0,44856,116,2949410,AAA
454,PRO PLAN REDUCED CALORIE M/L 3KG AR,Adultos,Alimento,24832.0,29550.0,23186,55,2871340,AAA
2004,SHAMPOO REGEPIPEL PLUS 150 ML,Higiene,Medicamentos,8747.899159663866,10410.0,7831,20,2867980,AAA
1703,REVOLUTION PERRO 10-20 KG,Ant. Ext.,Medicamentos,17639.0,20990.0,13829,39,2850800,AAA
1039,PRO PLAN EXIGENT SMALL BREED 3KG AR,Adultos,Alimento,25908.0,30830.0,24032,57,2839182,AAA
86,JAULA CAGE RABBIT 100 GREY,Hogar-Transporte,Accesorios,67050.0,79790.0,63817,147,2837570,AAA
1966,BRAVERY SALMON MINI ADULT SMALL BREEDS 2 KG,Adultos,Alimento,15958.0,18990.0,12833,35,2834260,AAA
2010,BRIT CARE ADULT SMALL BREED L&R 1 kg,Adultos,Alimento,6882.0,8190.0,5515,16,2804550,AAA
1221,ROYAL CANIN URINARY S/O FELINE 1.5 KG.,Medicados,Alimento,17429.0,20740.0,15067,39,2801510,AAA
1562,MOTHER AND BABYCAT 1.5 KG,Cachorros,Alimento,17084.0,20330.0,13953,38,2801023,AAA
215,CARPETA ORIENTADORA X UNI.,Higiene,Accesorios,504.0,600.0,436,2,2787910,AAA
1730,COLLAR ISABELINO 20 CM Nº(4),Higiene,Medicamentos,5874.0,6990.0,4896,13,2780828,AAA
150,ADVANTAGE GATOS <4 KG,Ant. Ext.,Medicamentos,7202.0,8570.0,6780,16,2778840,AAA
190,JAULA TRANSPORTE PRATIKO METAL 1,Hogar-Transporte,Accesorios,19151.0,22790.0,16350,42,2765340,AAA
2225,ROYAL GASTROINTESTINAL CANINE 385 GRS. (LATA),Latas medicadas,Alimento,4403.0,5240.0,3449,10,2710760,AAA
1836,"PRO PLAN KITTEN 7,5KG AR",Cachorros,Alimento,53697.0,63900.0,49291,118,2679600,AAA
570,POWER ULTRA 5 - 10 KG,Ant. Ext.,Medicamentos,7487.0,8910.0,7120,17,2667510,AAA
2063,NAXPET 30 MG X 10 COMP. RAZA GDE.,Analgesico,Medicamentos,10369.74789915966,12340.0,8570,23,2660980,AAA
2164,MIXANTIP PLUS 50 GR,Antibiotico,Medicamentos,20160.0,23990.0,18690,45,2642080,AAA
989,ROYAL CAN. SHN MINI JUNIOR 1 KGR.,Cachorros,Alimento,9412.0,11200.0,8786,21,2624510,AAA
1817,FELIWAY SPRAY 60ML,Comportamiento,Medicamentos,27957.98319327731,33270.0,26124,62,2622440,AAA
531,SHN MINI ADULTO 8+ 2.5 KG,Adultos,Alimento,20933.0,24910.0,19873,46,2590230,AAA
1387,LE SALON ESSENTIALS PEINE DESENREDAR,Grooming,Accesorios,17639.0,20990.0,13872,39,2577470,AAA
1261,MELOXIVET 60 ML,Analgesico,Medicamentos,12521.0,14900.0,10347,28,2562800,AAA
2040,JAULA CAGE CAVIE 60,Hogar-Transporte,Accesorios,30874.0,36740.0,24653,68,2558430,AAA
395,ROYAL CAN. SHN. MEDIUM JUNIOR 15 KGR.,Cachorros,Alimento,74992.0,89240.0,68350,164,2552450,AAA
2125,"SIMPARICA 10 MG  X 3 TAB. 2,6 - 5 K",Ant. Ext.,Medicamentos,17588.0,20930.0,15708,39,2537770,AAA
2283,"ROYAL CANIN INDOOR 1,5 KG",Adultos,Alimento,16563.0,19710.0,15610,37,2534420,AAA
1780,COLLAR ISABELINO 12.5 CM Nº(2),Higiene,Medicamentos,4832.0,5750.0,3771,11,2489980,AAA
1116,PRO PLAN KITTEN 1KG AR,Cachorros,Alimento,11294.0,13440.0,9964,25,2479680,AAA
493,MONGE MINI ADULT CHICKEN DE 3 KG,Adultos,Alimento,21840.0,25990.0,18160,48,2476090,AAA
102,BRAVERY CHICKEN MINI PUPPY SMALL BREEDS 2 KG,Cachorros,Alimento,14277.0,16990.0,11652,32,2452310,AAA
1990,BRIT CARE GF JUNIOR LARGE BREED SALMON  3 KG,Cachorros,Alimento,20084.0,23900.0,18053,44,2451300,AAA
1856,"ROYAL POODLE  ADULTO 2,5 KILO",Razas,Alimento,23235.0,27650.0,18829,51,2439680,AAA
387,EHLIFLOXACINO 150 ML X 10,Antibiotico,Medicamentos,17151.0,20410.0,14889,38,2437260,AAA
1307,DAILY STUFF TRANSPORTADORA ROUTE 1,Hogar-Transporte,Accesorios,11756.0,13990.0,9803,26,2434260,AAA
1145,BRAVERY SALMON ADULT LARGE/MEDIUM BREED 12 KG,Adultos,Alimento,51252.0,60990.0,48161,112,2432380,AAA
1855,"FP ATLAS 10 / TRANSPORTADORA 48X32,5X29H CM",Hogar-Transporte,Accesorios,12597.0,14990.0,11295,28,2431610,AAA
148,"NUTRIENCE ORIG KITTEN 2,5KG",Cachorros,Alimento,19151.0,22790.0,17658,42,2426420,AAA
2084,REVOLUTION PERRO 2-5 KG,Ant. Ext.,Medicamentos,14193.0,16890.0,12321,31,2404510,AAA
1490,PRO PLAN REDUCED CALORIE M/L 15KG AR,Adultos,Alimento,68261.0,81230.0,55323,150,2383400,AAA
1896,BRAVERY SALMON ADULT CAT STERILIZED 2 KG,Adultos,Alimento,15958.0,18990.0,14475,35,2350200,AAA
1426,BRAVERY LAMB MINI ADULT SMALL BREED 2 KG,Adultos,Alimento,15118.0,17990.0,13014,34,2338580,AAA
624,FRONTLINE PLUS PIPETA PERRO 10-20 KG.,Ant. Ext.,Medicamentos,9210.0,10960.0,7646,21,2324740,AAA
1847,LW SUSTRATO NATURAL PEQ. ANIM. CAFE -10L,Higiene,Accesorios,13857.0,16490.0,12620,31,2323480,AAA
2255,ADVANTIX 4-10 KG,Ant. Ext.,Medicamentos,7555.0,8990.0,6496,17,2295140,AAA
270,PRO PLAN REDUCE CALORIE SML BRD 3KG AR,Adultos,Alimento,24832.0,29550.0,21104,55,2292040,AAA
1506,BRIT CARE DUCK ENDURANCE 12 KG,Adultos,Alimento,42773.0,50900.0,34476,94,2290500,AAA
820,BRAVERY CHICKEN KITTEN 2 KG,Cachorros,Alimento,15118.0,17990.0,12936,34,2283250,AAA
2136,DERMISOLONA 20MG X10 COM,Ant. Ext.,Medicamentos,13159.66386554622,15660.0,10441,29,2254140,AAA
2002,"SIMPARICA 40 MG  X 3 TAB. 10,1 - 20 K",Ant. Ext.,Medicamentos,20655.0,24580.0,18258,46,2238880,A
1840,COLLAR ISABELINO 25 CM Nº(5),Higiene,Medicamentos,7142.857142857143,8500.0,5646,16,2234100,A
1611,SCALIBOR (collar antiparasitario),Ant. Ext.,Medicamentos,24218.0,28820.0,22432,53,2230760,A
2050,"SIMPARICA 20 MG X 3 TAB. 5,1 - 10 KG",Ant. Ext.,Medicamentos,16832.0,20030.0,14657,37,2187720,A
1639,BRIT CARE CAT STERILIZED URINARY 2KG,Adultos,Alimento,15958.0,18990.0,14376,35,2149260,A
1018,"SIMPARICA 5 MG  X 1 TAB. 1,3 - 2,5 K",Ant. Ext.,Medicamentos,6924.0,8240.0,6396,16,2145460,A
254,TOALLITAS PERFUMADAS CLORHEXIDINA PERRO Y GATO,Higiene,Accesorios,5034.0,5990.0,4067,11,2141920,A
1287,ADVANTIX 10-25 KG ,Ant. Ext.,Medicamentos,9403.0,11190.0,7722,21,2132000,A
1237,BRIT CARE CAT GRAIN-FREE HAIRCARE HEALTHY & SHINY COAT 2 KG,Adultos,Alimento,15958.0,18990.0,14052,35,2103500,A
580,FIPROKILL SPRAY x 100 ml ,Ant. Ext.,Medicamentos,13437.0,15990.0,11380,30,2100500,A
741,BRAVECTO GATO 1.2 A 2.8 KG,Ant. Ext.,Medicamentos,24882.0,29610.0,22858,55,2074510,A
1741,NEXGARD X 3 TAB. 10 A  25 KG,Ant. Ext.,Medicamentos,27723.0,32990.0,22926,61,2061090,A
1110,ROYAL CAN. SHN. MEDIUM ADULT 15 KGR.,Adultos,Alimento,71773.0,85410.0,58637,157,2055330,A
235,GLICOPAN 125mlCU,Vitaminas,Medicamentos,10580.0,12590.0,8761,24,2052170,A
553,"PRO PLAN URINARY CAT 7,5KG AR",Adultos,Alimento,53697.0,63900.0,50511,118,2050320,A
908,KIT SNAP VIRAL LEUCEMIA -SIDA,Laboratorios,Medicamentos,15118.0,17990.0,13479,34,2033660,A
558,DRONTAL CAT 2 COMPRIMIDOS ,Ant. Ext.,Medicamentos,6832.0,8130.0,6026,15,2025950,A
197,BRAVERY IBERIAN PORK MINI ADULT SMALL BREEDS 2 KG,Adultos,Alimento,14277.0,16990.0,12800,32,2013420,A
2169,FRONTLINE 100 ML,Ant. Ext.,Medicamentos,11756.0,13990.0,10484,26,1998820,A
1604,FLORAFIX PET PASTA PROBIOTICO 15 GRS,Medicamentos,Medicamentos,8983.0,10690.0,8008,20,1986633,A
1329,BRAVERY CHICKEN PUPPY LARGE/MEDIUM BREEDS 12 KG,Cachorros,Alimento,50412.0,59990.0,45406,111,1976200,A
864,BIOTIVET PLUS 200 MG X 10 COMP,Antibiotico,Medicamentos,14529.0,17290.0,12944,32,1951680,A
2197,PRO PLAN PUPPY SMALL BREED 1KG AR,Cachorros,Alimento,9143.0,10880.0,7274,20,1950710,A
1271,FELIWAY KIT ENCHUFE,Comportamiento,Medicamentos,33605.0,39990.0,30582,74,1919520,A
611,ROYAL CANIN MINI INDOOR ADULTO 2.5KG,Adultos,Alimento,22101.0,26300.0,17276,49,1913290,A
1245,ROYAL CAN FHN FIT 32 7.5 KILO,Adultos,Alimento,54866.0,65290.0,47175,120,1910760,A
1982,ITRASKIN SUSP. ORAL 120 ML,Antimicotico,Medicamentos,14277.31092436975,16990.0,11455,32,1905850,A
100,ROYAL GASTROINTESTINAL FELINO 165 GRS. (LATA),Latas medicadas,Alimento,4403.0,5240.0,3457,10,1899940,A
75,EHLIPROFENO 20 MG X 10 COMP,Analgesico,Medicamentos,13202.0,15710.0,10342,29,1895700,A
52,ROYAL MINI LIGHT 2.5KG,Adultos,Alimento,23950.0,28500.0,20095,53,1878690,A
888,JAULA TRANSPORTE PRATIKO METAL 2,Hogar-Transporte,Accesorios,24630.0,29310.0,20741,54,1854610,A
1092,ROYAL CAN. SHN MINI ADULTO 1 KGR.,Adultos,Alimento,9235.0,10990.0,7196,21,1853908,A
219,LE SALON ESSENTIALS CEPILLO CARDA SMALL,Grooming,Accesorios,9235.0,10990.0,7962,21,1844930,A
925,PRO PLAN ACTIVE MIND 7+ SML BRD 3KG AR,Adultos,Alimento,25908.0,30830.0,20877,57,1828680,A
401,PRO PLAN ACTIVE MIND 7+ MED LRG 3KG AR,Adultos,Alimento,25908.0,30830.0,22107,57,1824670,A
1622,FRONTLINE PLUS PIPETA PERRO 20-40 KG.,Ant. Ext.,Medicamentos,13025.0,15500.0,11939,29,1819550,A
879,BRAVERY SALMON ADULT LARGE/MEDIUM BREED 4 KG,Adultos,Alimento,21000.0,24990.0,18101,46,1803000,A
1001,BRAVERY CHICKEN ADULT LARGE/MEDIUM BREEDS 12 KG,Adultos,Alimento,46210.0,54990.0,38403,101,1797190,A
1480,BRAVERY CHICKEN PUPPY LARGE/MEDIUM BREEDS 4 KG,Cachorros,Alimento,21000.0,24990.0,16272,46,1776770,A
2139,FRONTLINE PLUS PIPETA GATO,Ant. Ext.,Medicamentos,7681.0,9140.0,6579,17,1759680,A
963,BRIT CARE DOG SHOW CHAMPION SALMON 3 KG,Adultos,Alimento,20160.0,23990.0,15761,45,1756480,A
1299,ALLERCALM,Antialergico,Medicamentos,16210.0,19290.0,15050,36,1755390,A
950,ULTRAFIL PERROS Y GATOS 15 ML,Otico,Medicamentos,12907.56302521008,15360.0,11624,29,1749980,A
843,FIPROKILL SPRAY x 250 ml ,Ant. Ext.,Medicamentos,21000.0,24990.0,18969,46,1745070,A
1651,DOGIT ALFOMBRILLA EDUCADORA  MEDIUM 14UN,Higiene,Accesorios,5706.0,6790.0,5416,13,1736536,A
1129,BRAVERY CHICKEN MINI ADULT SMALL BREEDS 2 KG,Adultos,Alimento,13437.0,15990.0,12132,30,1724600,A
481,POWER ULTRA 11 - 20  KG,Ant. Ext.,Medicamentos,8294.0,9870.0,6935,19,1723320,A
1469,BRAVERY SALMON ADULT CAT 2 KG,Adultos,Alimento,14277.0,16990.0,12927,32,1696600,A
641,ESPUMA SECA EHLINGER SPRAY 265 ML,Higiene,Medicamentos,9975.0,11870.0,8031,22,1681680,A
